ID,Case Number,Date,Latitude,Longitude
4970816,HM583325,11-04-2003 12:00,41.89265576,-87.61692282
5105338,HM706621,05/15/2004 07:30:00 AM,,
5105437,HM706669,12/20/2002 12:01:00 AM,,
5105618,HM706380,01-01-2003 00:01,,
4971841,HM584676,05/16/2003 08:00:00 AM,41.88224999,-87.62941075
5105711,HM706432,11-12-2004 00:01,,
5107620,HM706817,10/24/2004 05:00:00 PM,,
5107672,HM708411,02-01-2003 18:00,,
5108804,HM704231,01-01-2002 08:00,,
5111693,HM705512,06/30/2004 11:59:00 PM,,
5111756,HM710228,11-01-2004 00:00,,
5111980,HM705230,01-01-2003 00:01,,
5112012,HM701096,11-04-2002 13:50,,
5112207,HM712166,01-01-2004 00:00,,
5112350,HM705095,04-01-2004 00:01,,
4979600,HM591100,03-01-2003 09:00,41.74193737,-87.6765867
4980140,HM594140,10-01-2003 00:01,41.79160961,-87.64387234
4982212,HM595275,01-02-2003 09:00,41.9109363,-87.71333354
4982250,HM595330,09-02-2003 12:00,41.78185949,-87.68981513
5118013,HM713506,01-01-2004 00:00,,
5119035,HM719464,11/13/2004 05:00:00 PM,,
5119699,HM719547,09-09-2002 12:00,,
5120145,HM720234,07/17/2002 12:00:00 PM,,
4987121,HM599051,02-01-2003 08:00,41.84813185,-87.64042498
4988918,HM600518,09-12-2003 09:00,41.77905425,-87.69759744
4989824,HM601511,07/18/2003 12:00:00 AM,41.78836478,-87.72792202
4990231,HM600273,07/13/2003 12:00:00 PM,41.70082508,-87.65074957
5126009,HM719130,03/25/2002 12:00:00 AM,,
5126486,HM725195,05-02-2003 00:00,,
4993866,HM573309,03-01-2003 00:00,41.72618434,-87.56989946
5129791,HM727698,06-01-2002 18:00,,
5129931,HM727945,03-02-2004 00:00,,
4996721,HM608582,01-01-2003 00:00,41.87519052,-87.73152416
5131204,HM726066,01-01-2002 00:00,,
5132713,HM730764,08-01-2002 00:00,,
5133491,HM731161,05-04-2003 09:00,,
5001037,HM611980,04/30/2003 09:00:00 AM,41.94012737,-87.74690255
5136589,HM731766,04/17/2004 12:00:00 AM,,
5135425,HM732645,02-09-2004 12:00,,
5135738,HM732781,11/20/2001 06:00:00 PM,41.93318713,-87.75119621
5002555,HM613271,01-01-2003 00:00,41.91076447,-87.73368467
5138548,HM735932,01-02-2004 09:00,,
5143290,HM670576,01-01-2004 00:01,,
5143448,HM739680,07/15/2001 09:00:00 AM,41.98967395,-87.79155241
5143522,HM733256,06-01-2004 00:01,,
5143762,HM741409,11/25/2001 12:00:00 PM,41.77113049,-87.62250707
5144076,HM742302,08/28/2002 10:00:00 PM,,
5146111,HM743312,09/23/2004 09:00:00 AM,,
5146665,HM744459,07-01-2001 00:00,41.90364896,-87.71766524
5147738,HM740459,08-01-2001 21:00,41.80221952,-87.66343916
5148072,HM744955,07/23/2003 09:00:00 AM,,
5148524,HM745176,06-06-2003 00:00,,
5149245,HJ487633,07-11-2003 08:00,,
5017497,HM626469,11-01-2003 00:00,41.91739692,-87.70739224
5151266,HM745297,09/15/2002 09:00:00 AM,,
5152467,HM745565,10/22/2004 12:00:00 AM,,
5153028,HM745997,01-01-2001 08:00,41.69503892,-87.61236824
5153968,HM749814,01/22/2003 12:00:00 AM,,
5157386,HM753245,12-12-2004 12:00,,
5157903,HM754044,10/18/2002 12:00:00 PM,,
5158218,HM754502,12-03-2003 10:15,,
5160149,HM755810,03-01-2002 00:00,,
5160191,HM755713,11/22/2004 12:00:00 AM,,
5160330,HM755705,04-01-2004 00:00,,
5163213,HM748312,01-01-2002 00:01,,
5166376,HM760621,12-06-2003 22:30,,
5165697,HM759866,03-01-2004 00:00,,
5167822,HM759738,01-02-2002 09:00,,
5172625,HM765868,01-01-2004 00:00,,
5173737,HM767383,08-01-2003 00:01,,
5173762,HM766521,10-01-2003 12:00,,
5173903,HM764699,01-01-2003 00:01,,
5175022,HM486129,01-11-2004 00:00,,
5175110,HM486134,03-10-2004 00:00,,
5175213,HM767969,07-06-2004 10:00,,
5176106,HM768151,01-01-2002 00:01,,
5176394,HM769304,12-11-2002 20:00,,
5176650,HM758960,03-01-2004 09:00,,
5177923,HM770031,04-01-2001 11:00,41.76863941,-87.66562883
5177979,HM770155,10-09-2003 12:00,,
5181189,HM769242,06-01-2003 13:00,,
5181992,HM772000,04-01-2001 15:00,41.69729208,-87.61456937
5182448,HM773464,07-01-2003 10:00,,
5183327,HM774686,07/29/2004 01:00:00 PM,,
5184251,HM775261,10/29/2004 09:00:00 AM,,
5185594,HM775837,03-01-2002 00:01,,
5185806,HM776585,05-01-2001 08:00,,
